participant,participant_gender,search_term,image_url,image_selected,image_gender,image_position,bls_p_women,bls_p_image_gender,search_p_women,synthetic_p_women,quality_rating
b3,female,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/1.jpg,FALSE,woman,1,0.441,0.441,0.476190476,0.5,fair
b30,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,FALSE,woman,1,0.442,0.442,0.532467532,0.5,good
b18,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/0.jpg,FALSE,man,1,0.501,0.499,0.353846154,0,poor
b38,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.5,poor
b36,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/0.jpg,FALSE,man,1,0.041,0.959,0.103896104,0,good
b27,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,TRUE,woman,1,0.814,0.814,0.717948718,0.875,very good
b12,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,FALSE,woman,1,0.941,0.941,0.873239437,1,good
b4,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/3.jpg,FALSE,woman,1,0.501,0.501,0.353846154,1,good
b25,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/3.jpg,FALSE,woman,1,0.501,0.501,0.353846154,1,very good
b8,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/0.jpg,FALSE,woman,1,0.343,0.343,0.301204819,0.5,very good
b3,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/0.jpg,TRUE,woman,1,0.881,0.881,0.926829268,0.5,good
b30,female,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,FALSE,man,1,0.236,0.764,0.209302326,0.5,good
b5,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/0.jpg,TRUE,man,1,0.041,0.959,0.103896104,0,very good
b7,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/0.jpg,FALSE,man,1,0.297,0.703,0.15625,0.75,fair
b22,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,FALSE,woman,1,0.728,0.728,0.651162791,1,good
b12,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,FALSE,woman,1,0.728,0.728,0.651162791,1,very good
b4,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/1.jpg,FALSE,man,1,0.343,0.657,0.301204819,0,very good
b3,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,FALSE,man,1,0.599,0.401,0.234042553,0.25,good
b28,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/1.jpg,FALSE,man,1,0.343,0.657,0.301204819,0,fair
b34,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.75,fair
b12,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/0.jpg,FALSE,man,1,0.297,0.703,0.15625,0,good
b8,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/46.jpg,FALSE,woman,1,0.041,0.041,0.103896104,1,fair
b17,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/4.jpg,FALSE,man,1,0.596,0.404,0.685714286,0,good
b30,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,FALSE,man,1,0.599,0.401,0.234042553,0.5,good
b7,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,FALSE,woman,1,0.862,0.862,0.779069767,0.125,poor
b19,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.25,fair
b34,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,TRUE,man,1,0.132,0.868,0.154929577,0,poor
b29,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,TRUE,man,1,0.377,0.623,0.287671233,0.375,good
b36,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,TRUE,woman,1,0.814,0.814,0.717948718,0.125,fair
b4,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,TRUE,man,1,0.132,0.868,0.154929577,0.5,good
b25,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,FALSE,woman,1,0.861,0.861,0.846153846,1,good
b5,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/1.jpg,FALSE,man,1,0.185,0.815,0.052631579,0.5,good
b8,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/0.jpg,FALSE,woman,1,0.678,0.678,0.6875,1,very good
b3,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,TRUE,woman,1,0.728,0.728,0.651162791,0.75,very good
b30,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,FALSE,woman,1,0.728,0.728,0.651162791,0.75,very good
b33,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,FALSE,woman,1,0.442,0.442,0.532467532,0.5,good
b7,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,FALSE,man,1,0.599,0.401,0.234042553,0,very good
b12,female,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/0.jpg,FALSE,man,1,0.166,0.834,0.181818182,0.5,good
b4,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/0.jpg,TRUE,man,1,0.556,0.444,0.246153846,0.5,fair
b22,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/1.jpg,TRUE,woman,1,0.555,0.555,0.35,0.625,very poor
b15,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/0.jpg,FALSE,man,1,0.041,0.959,0.103896104,0,very good
b30,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,TRUE,woman,1,0.814,0.814,0.717948718,0.5,good
b18,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,FALSE,woman,1,0.814,0.814,0.717948718,0.125,fair
b7,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/0.jpg,FALSE,woman,1,0.678,0.678,0.6875,1,very good
b38,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/1.jpg,TRUE,woman,1,0.556,0.556,0.246153846,1,poor
b19,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/0.jpg,FALSE,woman,1,0.953,0.953,0.923076923,0.5,fair
b4,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/0.jpg,FALSE,man,1,0.23,0.77,0.079365079,0.5,good
b25,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/0.jpg,FALSE,man,1,0.23,0.77,0.079365079,0.5,poor
b8,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,FALSE,man,1,0.197,0.803,0.148148148,0.5,very good
b3,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/9.jpg,FALSE,man,1,0.678,0.322,0.6875,0,good
b30,female,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/3.jpg,FALSE,man,1,0.441,0.559,0.476190476,0,poor
b6,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,FALSE,woman,1,0.442,0.442,0.532467532,1,very good
b21,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/0.jpg,FALSE,man,1,0.556,0.444,0.246153846,0.5,poor
b18,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/0.jpg,FALSE,man,1,0.556,0.444,0.246153846,0.5,very poor
b12,female,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,FALSE,man,1,0.236,0.764,0.209302326,0,good
b23,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.75,poor
b25,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/1.jpg,FALSE,man,1,0.225,0.775,0.166666667,0.75,good
b5,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,FALSE,woman,1,0.442,0.442,0.532467532,0.5,good
b22,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,FALSE,man,1,0.599,0.401,0.234042553,0,good
b36,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/0.jpg,FALSE,man,1,0.556,0.444,0.246153846,0.25,fair
b8,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/1.jpg,TRUE,man,1,0.442,0.558,0.532467532,0,good
b3,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,TRUE,man,1,0.215,0.785,0.241758242,0.25,very good
b30,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,FALSE,man,1,0.197,0.803,0.148148148,0.75,fair
b7,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,FALSE,woman,1,0.503,0.503,0.644444444,0.5,fair
b38,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/3.jpg,FALSE,woman,1,0.596,0.596,0.685714286,0.625,good
b19,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,FALSE,man,1,0.537,0.463,0.576923077,0.5,very good
b5,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/6.jpg,FALSE,man,1,0.814,0.186,0.717948718,0,fair
b3,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/1.jpg,FALSE,man,1,0.274,0.726,0.112244898,0.875,very good
b30,female,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/0.jpg,FALSE,man,1,0.013,0.987,0.047058824,0.5,very good
b38,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/1.jpg,FALSE,man,1,0.029,0.971,0.125,0,fair
b19,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/1.jpg,TRUE,man,1,0.343,0.657,0.301204819,0,very good
b34,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/2.jpg,TRUE,woman,1,0.029,0.029,0.125,1,poor
b5,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/1.jpg,FALSE,woman,1,0.555,0.555,0.35,0.5,very poor
b23,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,TRUE,man,1,0.377,0.623,0.287671233,0,good
b16,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,FALSE,man,1,0.215,0.785,0.241758242,0.25,good
b8,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,FALSE,woman,1,0.503,0.503,0.644444444,1,very good
b3,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/3.jpg,TRUE,woman,1,0.596,0.596,0.685714286,0.375,fair
b6,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,FALSE,man,1,0.599,0.401,0.234042553,0,good
b18,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/0.jpg,FALSE,man,1,0.126,0.874,0.138888889,0,poor
b4,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/3.jpg,FALSE,woman,1,0.596,0.596,0.685714286,1,very good
b12,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/1.jpg,FALSE,man,1,0.274,0.726,0.112244898,0.875,fair
b22,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/3.jpg,FALSE,woman,1,0.596,0.596,0.685714286,0.625,fair
b5,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/1.jpg,FALSE,man,1,0.274,0.726,0.112244898,0.875,fair
b30,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/1.jpg,TRUE,man,1,0.029,0.971,0.125,0,good
b7,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/3.jpg,FALSE,woman,1,0.501,0.501,0.353846154,1,good
b38,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,FALSE,man,1,0.455,0.545,0.1875,0.75,good
b34,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/0.jpg,FALSE,man,1,0.501,0.499,0.353846154,0.5,fair
b22,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/2.jpg,TRUE,woman,1,0.029,0.029,0.125,1,very poor
b4,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/2.jpg,TRUE,woman,1,0.029,0.029,0.125,1,very good
b25,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,FALSE,woman,1,0.503,0.503,0.644444444,0.625,good
b8,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,FALSE,man,1,0.132,0.868,0.154929577,0,very good
b11,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/18.jpg,FALSE,woman,1,0.455,0.455,0.1875,1,fair
b3,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,FALSE,woman,1,0.503,0.503,0.644444444,1,good
b30,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/6.jpg,FALSE,woman,1,0.537,0.537,0.576923077,1,good
b2,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,FALSE,man,1,0.132,0.868,0.154929577,0.125,very good
b21,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/0.jpg,TRUE,woman,1,0.343,0.343,0.301204819,0.375,good
b7,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/3.jpg,FALSE,man,1,0.377,0.623,0.141025641,0,poor
b5,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/15.jpg,FALSE,woman,1,0.297,0.297,0.15625,1,very poor
b12,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,FALSE,woman,1,0.503,0.503,0.644444444,1,good
b25,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/1.jpg,TRUE,man,1,0.274,0.726,0.112244898,0.75,fair
b4,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,TRUE,woman,1,0.861,0.861,0.846153846,0.125,very good
b22,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,TRUE,woman,1,0.861,0.861,0.846153846,0.125,fair
b36,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,FALSE,woman,1,0.442,0.442,0.532467532,0.5,good
b16,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/0.jpg,TRUE,woman,1,0.953,0.953,0.923076923,0.5,fair
b8,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/3.jpg,FALSE,woman,1,0.596,0.596,0.685714286,0.625,very good
b3,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/0.jpg,FALSE,man,1,0.501,0.499,0.353846154,0,fair
b30,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/0.jpg,TRUE,man,1,0.078,0.922,0.06779661,0.5,poor
b18,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,TRUE,woman,1,0.728,0.728,0.651162791,0.375,good
b38,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,FALSE,man,1,0.215,0.785,0.241758242,0.25,very good
b35,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/0.jpg,TRUE,woman,1,0.881,0.881,0.926829268,0.5,good
b26,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,FALSE,woman,1,0.861,0.861,0.846153846,0.5,very good
b4,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,FALSE,man,1,0.537,0.463,0.576923077,0.5,very good
b12,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,FALSE,woman,1,0.861,0.861,0.846153846,0.5,good
b10,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/1.jpg,FALSE,woman,1,0.556,0.556,0.246153846,1,poor
b8,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,TRUE,man,1,0.537,0.463,0.576923077,0.375,very good
b3,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/22.jpg,FALSE,woman,1,0.225,0.225,0.166666667,1,fair
b30,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/8.jpg,FALSE,woman,1,0.274,0.274,0.112244898,1,fair
b12,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,FALSE,man,1,0.197,0.803,0.148148148,0.25,fair
b4,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/1.jpg,FALSE,man,1,0.274,0.726,0.112244898,0.25,fair
b22,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,FALSE,man,1,0.236,0.764,0.209302326,0.75,very poor
b25,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/0.jpg,TRUE,woman,1,0.814,0.814,0.717948718,0.25,good
b5,female,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,FALSE,man,1,0.236,0.764,0.209302326,0.75,very good
b8,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,TRUE,woman,1,0.941,0.941,0.873239437,0.125,fair
b3,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/0.jpg,TRUE,man,1,0.197,0.803,0.148148148,0,fair
b38,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/1.jpg,FALSE,woman,1,0.555,0.555,0.35,0.375,fair
b19,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,FALSE,woman,1,0.941,0.941,0.873239437,0.875,very good
